paper,abstarct,keyword,reference
2020_北京工业大学_基于知识图谱的电影推荐算法研究_韩维壮.caj,,,
2020_深圳大学_基于知识图谱的电影推荐研究_赵文栋.caj,,,
2020_重庆大学_基于用户画像与知识图谱融合的电影推荐算法研究_安冉.caj,,,
2020_重庆邮电大学_基于知识图谱的电影推荐技术研究_成振华.caj,,,
2021_中国科技大学_知识图谱分布式表示学习方法及应用研究_张金斗.caj,,,
2021_云南大学_融合元路径与知识协同过滤的电影推荐模型_李涛.caj,,,
2021_北京邮电大学_基于知识图谱的可解释推荐算法研究_刘语晗.caj,,,
2021_北京邮电大学_电影角色推荐算法的研究及系统实现_陶阳.caj,,,
2021_南昌大学_基于知识图谱的电影推荐系统的研究与实现_张泽文.caj,,,
2021_合肥工业大学_博士_基于网络结构学习的推荐系统研究_桑磊.caj,,,
2021_宁夏大学_基于用户兴趣与关系的电影推荐系统研究_王露洁.caj,,,
2021_新疆大学_基于知识图谱的隐式表征及多任务推荐系统研究_芦文杰.caj,,,
2021_河北工程大学_融合知识图谱特征学习的协同过滤推荐系统设计与实现_张屹晗.caj,,,
2021_贵州大学_基于知识图谱的电影推荐模型研究与应用_操淑敏.caj,,,
2022_内蒙古大学_面向垂直领域的跨域推荐算法研究_王春娜.caj,,,
2022_南京邮电大学_基于知识图谱和协同过滤的电影推荐算法研究与应用_张远之.caj,,,
2022_南京邮电大学_基于知识图谱的电影序列推荐模型研究与应用_胡婷婷.caj,,,
2022_吉林大学_博士_基于图表示学习的深度推荐系统研究_马心陶.caj,,,
2022_吉林大学_博士_基于知识图谱的深度推荐系统研究_王越群.caj,,,
2022_广东工业大学_基于情感分析的电影知识图谱推荐和主题研究_杨培琛.caj,,,
2022_广东工业大学_融合知识图谱的电影推荐算法研究_张欣.caj,,,
2022_电子科技大学_基于知识图谱的推荐算法研究与实现_贾帅琪.caj,,,
2022_电子科技大学_融合知识图谱的推荐系统数据稀疏性问题解决方案研究_邓智毅.caj,随着互联网内容平台和电商等平台的兴起，互联网上的数据开始爆炸式增长，互联网用户经受着严重的信息过载问题。推荐系统作为一种解决信息过载问题的工具，是互联网中的一项非常重要的技术，同时也因为信息过载，推荐系统也经受着严重的数据稀疏性问题。各个类型的辅助信息通常被用来解决推荐系统的数据稀疏性问题，知识图谱作为一种含有丰富信息的异质图结构的语义网络，近年来被广泛地运用到推荐系统中。 本文首先介绍了推荐系统数据稀疏性问题和基于知识图谱的推荐系统的相关技术，包括传统的协同过滤推荐系统为何受困于数据稀疏性问题、以往的工作如何利用辅助信息来解决数据稀疏性问题、如何利用知识图谱来解决推荐系统的数据稀疏性问题以及以往工作如何解决群组推荐问题的数据稀疏性问题，并结合群组推荐问题的特点分析以往工作存在的问题。 然后本文提出了一种端到端的基于知识图谱的注意力群组推荐模型，该模型把知识图谱作为辅助信息来缓解群组推荐任务的数据稀疏性问题。该模型首先利用图卷积网络的结构让实体的信息在知识图谱中传播进而学习到用户和物品含有丰富知识图谱信息的向量表征，然后再通过注意力机制综合考虑目标物品和群组内用户之间的影响来自适应地学习用户在群组内的影响力进而通过影响力加权和得到群组的向量表征，最后通过一个边缘损失函数和额外的用户-物品交互信息来使模型学习到更好的向量表征。 本文最后通过实验来验证提出的基于知识图谱的注意力群组推荐模型在解决群组推荐任务数据稀疏性上的效果。通过对比本文提出的模型和其他有代表性的模型的效果来证明提出的模型的有效性并分析了为什么提出的模型能取得较好的效果，通过消融实验来说明本文模型各个模块的作用，然后通过实验说明并分析模型各个超参数的影响，最后通过实例来说明本文提出的群组推荐模型如何对推荐给出合理解释。,推荐系统，数据稀疏性，知识图谱，群组推荐,
